Date;Total Cases;Deaths;Recovered;R2 Values Exponential Fitting Deaths;New Deaths;New Cases;Total Actual Positive
1/7/2020;61509;9754;16771;;7;82;34984
2/7/2020;61598;9761;16771;;7;89;35066
3/7/2020;61727;9765;16771;;4;129;35191
4/7/2020;61838;9771;16771;;6;111;35296
5/7/2020;61838;9771;16771;;0;0;35296
6/7/2020;61838;9771;16771;;0;0;35296
7/7/2020;62058;9774;16771;;3;220;35513
8/7/2020;62123;9776;16771;;2;65;35576
9/7/2020;62210;9778;16771;;2;87;35661
10/7/2020;62357;9781;16771;;3;147;35805
11/7/2020;62469;9782;16771;;1;112;35916
12/7/2020;62469;9782;16771;;0;0;35916
13/7/2020;62469;9782;16771;;0;0;35916
14/7/2020;62781;9787;16771;;5;312;36223
15/7/2020;62872;9788;16771;;1;91;36313
