Data;Deceduti / Totale Casi;Deceduti / Dismessi Guariti;Totale Casi / Tamponi;Terapia Intensiva / Totale Casi;Deceduti + Terap. Intens. / Totale Casi;Nuovi Positivi / Totali Positivi Precedenti;Incremento Nuovi Positivi;Totale Ospedalizzati / Totale Casi;Nuovi Deceduti;Incremento Nuovi Deceduti;Nuovi Deceduti / Deceduti Precedenti;R2 Values Exponential Fitting Total Positive Cases;R2 Values Exponential Fitting Deaths;Nuovi Tamponi;Nuovi Positivi / Nuovi Tamponi;Nuovi Casi
19/9/2020;12,03%;16,39%;2,87%;0,07%;12,11%;;-32,57%;0,88%;24;140,00%;0,07%;;;103223;1,59%;1637
20/9/2020;11,98%;16,35%;2,86%;0,07%;12,05%;;33,10%;0,87%;15;-37,50%;0,04%;;;83428;1,90%;1587
21/9/2020;11,93%;16,33%;2,86%;0,08%;12,01%;;4,70%;0,90%;17;13,33%;0,05%;;;55862;2,42%;1350
22/9/2020;11,88%;16,27%;2,85%;0,08%;11,96%;;-58,21%;0,94%;14;-17,65%;0,04%;;;87303;1,59%;1391
23/9/2020;11,82%;16,20%;2,83%;0,08%;11,90%;;52,44%;0,96%;20;42,86%;0,06%;;;103696;1,58%;1640
24/9/2020;11,76%;16,13%;2,82%;0,08%;11,84%;;6,56%;0,98%;23;15,00%;0,06%;;;108019;1,65%;1786
25/9/2020;11,69%;16,07%;2,81%;0,08%;11,77%;;40,84%;0,97%;20;-13,04%;0,06%;;;107269;1,78%;1912
26/9/2020;11,63%;16,01%;2,80%;0,08%;11,71%;;-6,72%;0,97%;17;-15,00%;0,05%;;;104387;1,79%;1869
27/9/2020;11,56%;15,97%;2,79%;0,08%;11,65%;;17,14%;1,00%;17;0,00%;0,05%;;;87714;2,01%;1766
28/9/2020;11,51%;15,92%;2,80%;0,08%;11,60%;;-31,22%;1,04%;16;-5,88%;0,04%;;;51109;2,92%;1494
29/9/2020;11,46%;15,84%;2,79%;0,09%;11,55%;;-56,45%;1,06%;24;50,00%;0,07%;;;90185;1,83%;1647
30/9/2020;11,40%;15,76%;2,78%;0,09%;11,49%;;106,19%;1,06%;19;-20,83%;0,05%;;;105564;1,75%;1850
1/10/2020;11,32%;15,70%;2,77%;0,09%;11,41%;;118,64%;1,07%;24;26,32%;0,07%;;;118236;2,16%;2548
2/10/2020;11,23%;15,63%;2,76%;0,09%;11,33%;;-2,46%;1,07%;23;-4,17%;0,06%;;;120301;2,08%;2499
3/10/2020;11,14%;15,56%;2,76%;0,09%;11,24%;;16,22%;1,09%;27;17,39%;0,08%;;;118932;2,39%;2843
4/10/2020;11,06%;15,52%;2,76%;0,09%;11,15%;;18,74%;1,10%;18;-33,33%;0,05%;;;92714;2,78%;2578
5/10/2020;10,99%;15,47%;2,77%;0,10%;11,09%;;-20,88%;1,16%;16;-11,11%;0,04%;;;60241;3,75%;2257
6/10/2020;10,91%;15,39%;2,77%;0,10%;11,01%;;-16,49%;1,19%;28;75,00%;0,08%;;;99742;2,68%;2677
7/10/2020;10,80%;15,33%;2,77%;0,10%;10,90%;;98,38%;1,23%;31;10,71%;0,09%;;;125314;2,93%;3677
8/10/2020;10,66%;15,27%;2,77%;0,11%;10,77%;;38,25%;1,27%;22;-29,03%;0,06%;;;128098;3,48%;4458
9/10/2020;10,50%;15,20%;2,79%;0,11%;10,62%;;23,16%;1,30%;28;27,27%;0,08%;;;129471;4,15%;5372
10/10/2020;10,34%;15,15%;2,80%;0,11%;10,45%;;13,49%;1,35%;29;3,57%;0,08%;;;133084;4,30%;5724
11/10/2020;10,19%;15,09%;2,82%;0,12%;10,31%;;-10,02%;1,39%;26;-10,34%;0,07%;;;104658;5,21%;5456
12/10/2020;10,07%;15,05%;2,84%;0,13%;10,19%;;-13,12%;1,47%;39;50,00%;0,11%;;;85442;5,41%;4619
13/10/2020;9,92%;14,98%;2,86%;0,14%;10,06%;;20,06%;1,53%;41;5,13%;0,11%;;;112544;5,24%;5898
14/10/2020;9,73%;14,87%;2,89%;0,14%;9,88%;;18,58%;1,61%;43;4,88%;0,12%;;;152196;4,82%;7332
15/10/2020;9,53%;14,79%;2,92%;0,15%;9,68%;;29,87%;1,67%;83;93,02%;0,23%;;;162932;5,40%;8803
16/10/2020;9,30%;14,70%;2,96%;0,16%;9,46%;;17,96%;1,74%;55;-33,73%;0,15%;;;150377;6,66%;10009
17/10/2020;9,06%;14,64%;3,01%;0,18%;9,24%;;19,60%;1,82%;47;-14,55%;0,13%;;;165837;6,59%;10925
18/10/2020;8,82%;14,53%;3,06%;0,18%;9,00%;;-3,34%;1,90%;69;46,81%;0,19%;;;146541;7,99%;11705
19/10/2020;8,64%;14,48%;3,11%;0,19%;8,83%;;-16,51%;2,00%;73;5,80%;0,20%;;;98862;9,44%;9337
20/10/2020;8,45%;14,39%;3,15%;0,20%;8,65%;;12,49%;2,15%;89;21,92%;0,24%;;;144737;7,51%;10871
21/10/2020;8,19%;14,31%;3,22%;0,21%;8,40%;;45,41%;2,22%;127;42,70%;0,35%;;;177848;8,55%;15199
22/10/2020;7,94%;14,25%;3,30%;0,21%;8,15%;;9,11%;2,29%;136;7,09%;0,37%;;;170392;9,44%;16078
23/10/2020;7,64%;14,16%;3,39%;0,22%;7,86%;;20,49%;2,39%;91;-33,09%;0,25%;;;182032;10,52%;19143
24/10/2020;7,38%;14,09%;3,48%;0,22%;7,60%;;2,87%;2,46%;151;65,93%;0,41%;;;177669;11,05%;19640
25/10/2020;7,10%;14,03%;3,59%;0,23%;7,33%;;10,94%;2,51%;128;-15,23%;0,34%;;;161880;13,14%;21273
26/10/2020;6,90%;13,95%;3,67%;0,24%;7,14%;;-24,22%;2,63%;141;10,16%;0,38%;;;124686;13,64%;17007
27/10/2020;6,68%;13,86%;3,78%;0,25%;6,93%;;27,44%;2,72%;221;56,74%;0,59%;;;174398;12,61%;21989
28/10/2020;6,43%;13,76%;3,89%;0,26%;6,69%;;16,09%;2,80%;205;-7,24%;0,54%;;;198952;12,56%;24988
29/10/2020;6,18%;13,65%;4,02%;0,27%;6,45%;;6,40%;2,86%;217;5,85%;0,57%;;;201452;13,32%;26829
30/10/2020;5,92%;13,51%;4,16%;0,27%;6,19%;;16,98%;2,89%;199;-8,29%;0,52%;;;215085;14,45%;31079
